Name,Index No,Program Level,Session,Programme Of Study,Password,Phone,Academic Year,Dues payed,Recept No,Payment Date,Position ,Status,Email
"Leman , Lucas",323010108,300,Regular,HND Computer Science,323010108,530743912,2023-2025,,,,student,Active,
"Lera , Laura ",324010121,300,Weekend,HND Information and Communication Technology,324010121,540791972,2024-2025,,,,student,Active,
"Lehage , Christian",324011110,300,Regular,BTech Information and Communication Technology,324011110,542380722,2025-2026,,,,student,Active,
"Lever , Florian",323010019,300,Weekend,BTech Computer Science,323010019,537588523,2023-2024,,,,student,Active,
"Libu , Cecilia",324011112,300,Regular,HND Computer Science,324011112,544762323,2023-2025,,,,student,Active,
"Lipper , Hans",323010113,300,Weekend,HND Information and Communication Technology,323010113,546860566,2025-2026,,,,student,Active,
"Labs , Hans",323010114,300,Regular,BTech Information and Communication Technology,323010114,547079962,2023-2024,,,,student,Active,
"Lucas , Jacob",323010115,300,Weekend,BTech Computer Science,323010115,545489016,2023-2025,,,,student,Active,
"Macho , Sophia",323010116,300,Regular,HND Computer Science,323010116,556488657,2024-2025,,,,student,Active,
"Manja , McMilian",323010117,300,Weekend,HND Information and Communication Technology,323010117,544828858,2025-2026,,,,student,Active,
"Manteu , Florian",323010118,300,Regular,BTech Information and Communication Technology,323010118,553909693,2023-2024,,,,student,Active,
"Markus , Sophia",323010119,300,Weekend,BTech Computer Science,323010119,248087165,2023-2025,,,,student,Active,
"Mart , Janike",323010120,300,Regular,HND Computer Science,323010120,533010546,2024-2025,,,,student,Active,
"Matz , Jennifer",323010121,300,Weekend,HND Information and Communication Technology,323010121,534075907,2025-2026,,,,student,Active,
"Mehel , Pepe",323010122,300,Regular,BTech Information and Communication Technology,323010122,543051484,2023-2024,,,,student,Active,
"Meler , Marvin",323010123,300,Weekend,BTech Computer Science,323010123,249029410,2023-2025,,,,student,Active,
"Meler , Maxi",323010124,300,Regular,HND Computer Science,323010124,543821458,2025-2026,,,,student,Active,
"Meteder , Joe",323010125,300,Weekend,HND Information and Communication Technology,323010125,553291315,2023-2024,,,,student,Active,
"Mens , Marten",323010126,300,Regular,BTech Information and Communication Technology,323010126,595723491,2023-2025,,,,student,Active,
"Meyer , Robert",324010127,300,Weekend,BTech Computer Science,324010127,507766414,2024-2025,,,,student,Active,
"Miner , Uke",324010128,300,Regular,HND Computer Science,324010128,507343892,2025-2026,,,,student,Active,
"Milo , Foster",324010129,300,Weekend,HND Information and Communication Technology,324010129,595443887,2023-2024,,,,student,Active,
"Minks , Pete",324010130,300,Regular,BTech Information and Communication Technology,324010130,551805905,2023-2025,,,,student,Active,
"Mor , Marius",323010131,300,Weekend,BTech Computer Science,323010131,598900885,2024-2025,,,,student,Active,
"Muller , Felix",324010132,300,Regular,HND Computer Science,324010132,599623697,2025-2026,,,,student,Active,
"Muller , Francis",324010133,300,Weekend,HND Information and Communication Technology,324010133,537705966,2023-2024,,,,student,Active,
"Muller , Len Malt",323010134,300,Regular,BTech Information and Communication Technology,323010134,256963908,2023-2025,,,,student,Active,
"Muller , Sara",323010135,300,Weekend,BTech Computer Science,323010135,599011649,2025-2026,,,,student,Active,
"Muller , ThoMas",324010136,300,Regular,HND Computer Science,324010136,544879800,2023-2024,,,,student,Active,
"Mundti, Julian",323010137,300,Weekend,HND Information and Communication Technology,323010137,0550035287/ 0509301848,2023-2025,,,,student,Active,
"Munke , Thorn",324010138,300,Regular,BTech Information and Communication Technology,324010138,550439354,2024-2025,,,,student,Active,
"Nagel , Till",324010139,300,Weekend,BTech Computer Science,324010139,552628420,2025-2026,,,,student,Active,
"Nebel , Nico",324011140,300,Regular,HND Computer Science,324011140,551503956,2023-2024,,,,student,Active,
"Pack , Marie",324011141,300,Weekend,HND Information and Communication Technology,324011141,556373624,2023-2025,,,,student,Active,
"Petersen , Sandra",324011142,300,Regular,BTech Information and Communication Technology,324011142,256840769,2024-2025,,,,student,Active,
"Poke , Markus",323010020,300,Weekend,BTech Computer Science,323010020,257747881,2025-2026,,,,student,Active,
"Rogger , Jonas",323010144,300,Regular,HND Computer Science,323010144,557810375,2023-2024,,,,student,Active,
"Roho , Ibrahim",323010145,300,Weekend,HND Information and Communication Technology,323010145,541036168,2023-2025,,,,student,Active,
"Rosco , Luise",323010146,300,Regular,BTech Information and Communication Technology,323010146,256271928,2025-2026,,,,student,Active,
"Rossa , Malik",323010147,300,Weekend,BTech Computer Science,323010147,546174085,2023-2024,,,,student,Active,
"Salomon , Adrian",323010148,300,Regular,HND Computer Science,323010148,547864286,2023-2025,,,,student,Active,
"Sming ,  Michelle",323010149,300,Weekend,HND Information and Communication Technology,323010149,597085652,2024-2025,,,,student,Active,
"Schell , Susan",324011150,300,Regular,BTech Information and Communication Technology,324011150,549166334,2025-2026,,,,student,Active,
"Slaack , Julian",323010151,300,Weekend,BTech Computer Science,323010151,544848409,2023-2024,,,,student,Active,
"Smitt , Christian",323010152,300,Regular,HND Computer Science,323010152,596876343,2023-2025,,,,student,Active,
"Schneider , Luisa",323010153,300,Weekend,HND Information and Communication Technology,323010153,242526824,2024-2025,,,,student,Active,
"Shock, Lisa",323010154,300,Regular,BTech Information and Communication Technology,323010154,208129873,2025-2026,,,,student,Active,
"School , Berenike",323010021,300,Weekend,BTech Computer Science,323010021,249326750,2023-2024,,,,student,Active,
"School , Felicia",323010156,300,Regular,HND Computer Science,323010156,555969351,2023-2025,,,,student,Active,
"School , Leonnart",323010022,300,Weekend,HND Information and Communication Technology,323010022,245477957,2025-2026,,,,student,Active,
"Small , Cheers",323010023,300,Regular,BTech Information and Communication Technology,323010023,240239426,2023-2024,,,,student,Active,
"Stell, Cheers",323010024,300,Weekend,BTech Computer Science,323010024,257431196,2023-2025,,,,student,Active,
"Stoop , Christopher",323010025,300,Regular,HND Computer Science,323010025,204453928,2024-2025,,,,student,Active,
"Stopper , Lena",323010026,300,Weekend,HND Information and Communication Technology,323010026,532385446,2025-2026,,,,student,Active,
"Tettey , Jona",323010162,300,Regular,BTech Information and Communication Technology,323010162,550139144,2023-2024,,,,student,Active,
"Thomas , Lea",323010163,300,Weekend,BTech Computer Science,323010163,249261754,2023-2025,,,,student,Active,
"Tranks , Clara",324011164,300,Regular,HND Computer Science,324011164,530743912,2024-2025,,,,student,Active,
"Tutu , Julius",324011165,300,Weekend,HND Information and Communication Technology,324011165,540791972,2025-2026,,,,student,Active,
"Wax , Noel ",324011166,300,Regular,BTech Information and Communication Technology,324011166,542380722,2023-2024,,,,student,Active,
"Well , Tim",324011167,300,Weekend,BTech Computer Science,324011167,537588523,2023-2025,,,,student,Active,
"Winter ,Ernest",323010168,300,Regular,HND Computer Science,323010168,544762323,2025-2026,,,,student,Active,
"Wolters , Christopher",323010027,300,Weekend,HND Information and Communication Technology,323010027,546860566,2023-2024,,,,student,Active,
"Zicker , Daniela",323010028,300,Regular,BTech Information and Communication Technology,323010028,547079962,2023-2025,,,,student,Active,
